"A"	"M"	"Rp"	"car_den200"	"car_den100"	"car_den50"	"car_den40"	"car_den30"	"car_den20"	"car_den15"	"car_den10"	"car_den9"	"car_den8"	"car_den7"	"car_den6"	"car_den5"	"car_den4"	"car_den3"	"car_den2"	"car_den1"	"carc_dist"	"POINT_X"	"POINT_Y"
"65"	0	0	1	0.00418418	0.00117649	0.000369707	0.000333581	0.000102805	0	0	0	0	0	0	0	0	0	0	0	0	25.0799	-85.7163009999786	386.696589999832
"66"	0	0	1	0.00431437	0.00155236	0.000497429	0.000583229	0.000467553	0	0	0	0	0	0	0	0	0	0	0	0	20.025	-86.2915960000246	376.797559999861
"67"	0	0	1	0.00439122	0.00182092	0.000548206	0.000708605	0.000874683	0.00126957	0.00114169	0	0	0	0	0	0	0	0	0	0	10.198	-87.3892849999829	366.630710000172
"68"	0	0	1	0.00371732	0.000456479	0.000243135	0.000123369	0	0	0	0	0	0	0	0	0	0	0	0	0	31.6228	-95.3309979999904	386.984240000136
"69"	0	0	1	0.00382048	0.000574471	0.000342244	0.000298829	0.00014336	0	0	0	0	0	0	0	0	0	0	0	0	23.7065	-96.6039200000232	378.100229999982
"70"	0	0	1	0.0038928	0.000672979	0.000396897	0.000439279	0.000524591	0.000263267	0	0	0	0	0	0	0	0	0	0	0	16.2788	-97.8669239999726	368.369819999672
"71"	0	0	0	0.0062496	0.0180871	0.0170884	0.00982147	0.00320983	0.00165815	0.000882677	0	0	0	0	0	0	0	0	0	0	11.3137	23.8525650000083	382.866879999638
"72"	0	0	0	0.00596696	0.0145978	0.00530052	0.00155389	0.000379676	0	0	0	0	0	0	0	0	0	0	0	0	22.1359	37.2298109999974	384.188769999892
"73"	0	0	1	0.0056016	0.0105613	0.000703004	0.000114888	0	0	0	0	0	0	0	0	0	0	0	0	0	32.249	48.0678349999944	386.529629999772
"74"	0	0	0	0.00527615	0.00747735	7.38045e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.19	57.9404230000218	386.800739999861
"75"	0	0	0	0.00492008	0.00471048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.0882	67.4030299999868	388.063740000129
