year	site	species	id	sex	infected	strain	strain.2	type
2010	sib	p.humei	8313	m	0	NA	NA	NA
2010	sib	p.humei	8314	m	0	NA	NA	NA
2010	sib	p.humei	8316	m	0	NA	NA	NA
2010	sib	p.humei	8317	m	0	NA	NA	NA
2010	sib	p.humei	8318	m	0	NA	NA	NA
2010	sib	p.humei	8319	m	0	NA	NA	NA
2010	sib	p.humei	8321	m	0	NA	NA	NA
2010	sib	p.humei	8324	m	0	NA	NA	NA
2010	sib	p.humei	8325	m	0	NA	NA	NA
2010	sib	p.humei	8327	m	0	NA	NA	NA
2010	sib	p.humei	8328	m	0	NA	NA	NA
2010	sib	p.humei	8331	m	0	NA	NA	NA
2010	sib	p.humei	8332	m	0	NA	NA	NA
2010	sib	p.humei	8333	m	0	NA	NA	NA
2010	sib	p.humei	8334	m	0	NA	NA	NA
2010	sib	p.humei	8336	m	0	NA	NA	NA
2010	sib	p.humei	8337	m	0	NA	NA	NA
2010	sib	p.humei	8338	m	0	NA	NA	NA
2010	sib	p.humei	8339	m	0	NA	NA	NA
2010	sib	p.humei	8340	m	0	NA	NA	NA
2010	sib	p.humei	8346	m	0	NA	NA	NA
2010	sib	p.humei	8347	m	0	NA	NA	NA
2010	sib	p.humei	8348	m	0	NA	NA	NA
2010	sib	p.humei	8352	m	0	NA	NA	NA
2010	sib	p.humei	8354	m	0	NA	NA	NA
2010	sib	p.humei	8355	m	0	NA	NA	NA
2010	sib	p.humei	8358	m	0	NA	NA	NA
2010	sib	p.humei	8360	m	0	NA	NA	NA
2010	sib	p.humei	8362	m	0	NA	NA	NA
2010	sib	p.humei	8363	m	0	NA	NA	NA
2010	sib	p.humei	8365	m	0	NA	NA	NA
2010	sib	p.humei	8366	m	0	NA	NA	NA
2010	sib	p.humei	8370	m	0	NA	NA	NA
2010	sib	p.humei	8367	m	0	NA	NA	NA
2010	sib	p.humei	8341	m	0	NA	NA	NA
2010	sib	p.humei	8377	f	0	NA	NA	NA
2010	sib	p.humei	8380	m	0	NA	NA	NA
2010	sib	p.humei	8384	f	0	NA	NA	NA
2010	sib	p.humei	8385	f	0	NA	NA	NA
2010	sib	p.humei	8386	f	0	NA	NA	NA
2010	sib	p.humei	8388	f	0	NA	NA	NA
2010	sib	p.humei	8391	m	0	NA	NA	NA
2010	sib	p.humei	8392	m	0	NA	NA	NA
2010	sib	p.humei	8393	f	0	NA	NA	NA
2010	sib	p.humei	8394	f	0	NA	NA	NA
2010	sib	p.humei	8395	f	0	NA	NA	NA
2010	sib	p.humei	8396	f	0	NA	NA	NA
2010	sib	p.humei	8397	m	0	NA	NA	NA
2010	sib	p.humei	8398	f	0	NA	NA	NA
2010	sib	p.humei	8399	f	0	NA	NA	NA
2010	sib	p.humei	8403	m	0	NA	NA	NA
2010	sib	p.humei	8405	f	0	NA	NA	NA
2010	sib	p.humei	8406	m	0	NA	NA	NA
2010	sib	p.humei	8407	m	0	NA	NA	NA
2010	sib	p.humei	8408	m	0	NA	NA	NA
2010	sib	p.humei	8409	f	0	NA	NA	NA
2010	sib	p.humei	8410	f	0	NA	NA	NA
2010	sib	p.humei	8411	m	0	NA	NA	NA
2010	sib	p.humei	8413	f	0	NA	NA	NA
2010	sib	p.humei	8414	m	0	NA	NA	NA
2010	sib	p.humei	8415	m	0	NA	NA	NA
2010	sib	p.humei	8417	m	0	NA	NA	NA
2010	sib	p.humei	8418	m	0	NA	NA	NA
2010	sib	p.humei	8349	m	1	PLA1	PLA1	P
2010	sib	p.humei	8373	m	1	PLA1	PLA1	P
2010	sib	p.humei	8374	f	1	PLA2	PLA2	P
2010	sib	p.humei	8351	m	1	PLA2	PLA2	P
2010	sib	p.humei	8404	f	1	PLA3	PLA3	P
2010	sib	p.humei	8364	m	1	PLA4	PLA4	P
2007	ind	p.troch	6472	f	0	HAE9	HAE3	H
2007	ind	p.troch	6763	f	1	HAE9	HAE3	H
2008	ind	p.troch	6472	f	1	HAE9	HAE3	H
2007	ind	p.troch	6480	f	1	HAE4	HAE4	H
2007	ind	p.troch	10054	f	1	HAE4	HAE4	H
2008	ind	p.troch	6006	m	1	HAE4	HAE4	H
2008	ind	p.troch	6057	m	1	HAE4	HAE4	H
2008	ind	p.troch	6478	m	1	HAE4	HAE4	H
2007	ind	p.troch	6460	m	1	HAE7	HAE4	H
2007	ind	p.troch	10068	m	1	HAE8	HAE8	H
2007	ind	p.troch	6778	f	1	MI	NA	NA
2007	ind	p.troch	6776	m	1	MI	NA	NA
2008	ind	p.troch	5139	f	1	MI	NA	NA
2008	ind	p.troch	6776	m	1	MI	NA	NA
2007	ind	p.troch	6478	m	0	NA	NA	NA
2007	ind	p.troch	6456	f	0	NA	NA	NA
2007	ind	p.troch	6471	f	0	NA	NA	NA
2007	ind	p.troch	10045	f	0	NA	NA	NA
2007	ind	p.troch	6466	m	0	NA	NA	NA
2007	ind	p.troch	6766	m	0	NA	NA	NA
2007	ind	p.troch	6767	m	0	NA	NA	NA
2007	ind	p.troch	6774	m	0	NA	NA	NA
2007	ind	p.troch	6775	m	0	NA	NA	NA
2007	ind	p.troch	6777	m	0	NA	NA	NA
2007	ind	p.troch	10070	m	0	NA	NA	NA
2007	ind	p.troch	10071	m	0	NA	NA	NA
2007	ind	p.troch	10075	f	0	NA	NA	NA
2007	ind	p.troch	10079	m	0	NA	NA	NA
2007	ind	p.troch	10080	m	0	NA	NA	NA
2007	ind	p.troch	10086	m	0	NA	NA	NA
2007	ind	p.troch	10097	m	0	NA	NA	NA
2008	ind	p.troch	5142	f	0	NA	NA	NA
2008	ind	p.troch	5171	f	0	NA	NA	NA
2008	ind	p.troch	5180	f	0	NA	NA	NA
2008	ind	p.troch	5188	f	0	NA	NA	NA
2008	ind	p.troch	5195	f	0	NA	NA	NA
2008	ind	p.troch	6079	f	0	NA	NA	NA
2008	ind	p.troch	10045	f	0	NA	NA	NA
2008	ind	p.troch	5101	m	0	NA	NA	NA
2008	ind	p.troch	5150	m	0	NA	NA	NA
2008	ind	p.troch	5174	m	0	NA	NA	NA
2008	ind	p.troch	5175	m	0	NA	NA	NA
2008	ind	p.troch	5176	m	0	NA	NA	NA
2008	ind	p.troch	5197	m	0	NA	NA	NA
2008	ind	p.troch	6010	m	0	NA	NA	NA
2008	ind	p.troch	6012	m	0	NA	NA	NA
2008	ind	p.troch	6014	m	0	NA	NA	NA
2008	ind	p.troch	6060	m	0	NA	NA	NA
2008	ind	p.troch	6062	m	0	NA	NA	NA
2008	ind	p.troch	6063	m	0	NA	NA	NA
2008	ind	p.troch	6066	m	0	NA	NA	NA
2008	ind	p.troch	10094	m	0	NA	NA	NA
2008	ind	p.troch	6461	m	0	NA	NA	NA
2008	ind	p.troch	6766	m	0	NA	NA	NA
2008	ind	p.troch	6055	m	0	NA	NA	NA
2007	ind	p.troch	6457	f	1	PLA1	PLA1	P
2008	ind	p.troch	5185	f	1	PLA1	PLA1	P
2008	ind	p.troch	5165	f	1	PLA1	PLA1	P
2007	ind	p.troch	6794	m	0	PLA7	PLA1	P
2008	ind	p.troch	6009	m	1	PLA7	PLA1	P
2008	ind	p.troch	6072	m	1	PLA7	PLA1	P
2008	ind	p.troch	6794	m	1	PLA7	PLA1	P
2007	ind	p.troch	6779	m	1	PLA2	PLA2	P
2007	ind	p.troch	6764	m	1	PLA8	PLA8	P
2008	ind	p.troch	5118	f	1	PLA8	PLA8	P
2008	ind	p.troch	5144	m	1	PLA8	PLA8	P
2008	ind	p.troch	6008	m	1	PLA8	PLA8	P
2008	ind	p.troch	6002	m	1	PLA8	PLA8	P
2009	kyrg	p.troch	5040	f	1	HAE3	HAE3	H
2009	kyrg	p.troch	6237	f	1	HAE4	HAE4	H
2009	kyrg	p.troch	97361	m	1	HAE4	HAE4	H
2009	kyrg	p.troch	97341	m	1	HAE4	HAE4	H
2009	kyrg	p.troch	302	f	1	HAE7	HAE4	H
2009	kyrg	p.troch	6230	m	1	HAE7	HAE4	H
2009	kyrg	p.troch	97379	m	1	HAE8	HAE8	H
2009	kyrg	p.troch	5041	m	1	HAE8	HAE8	H
2009	kyrg	p.troch	6217	f	0	NA	NA	NA
2009	kyrg	p.troch	6243	f	0	NA	NA	NA
2009	kyrg	p.troch	304	f	0	NA	NA	NA
2009	kyrg	p.troch	321	f	0	NA	NA	NA
2009	kyrg	p.troch	349	f	0	NA	NA	NA
2009	kyrg	p.troch	365	f	0	NA	NA	NA
2009	kyrg	p.troch	376	f	0	NA	NA	NA
2009	kyrg	p.troch	395	f	0	NA	NA	NA
2009	kyrg	p.troch	5017	f	0	NA	NA	NA
2009	kyrg	p.troch	5208	f	0	NA	NA	NA
2009	kyrg	p.troch	6231	f	0	NA	NA	NA
2009	kyrg	p.troch	6250	f	0	NA	NA	NA
2009	kyrg	p.troch	97302	f	0	NA	NA	NA
2009	kyrg	p.troch	97330	f	0	NA	NA	NA
2009	kyrg	p.troch	97334	f	0	NA	NA	NA
2009	kyrg	p.troch	97398	f	0	NA	NA	NA
2009	kyrg	p.troch	97306	f	0	NA	NA	NA
2009	kyrg	p.troch	301	f	0	NA	NA	NA
2009	kyrg	p.troch	5038	f	0	NA	NA	NA
2009	kyrg	p.troch	97375	f	0	NA	NA	NA
2009	kyrg	p.troch	5224	f	0	NA	NA	NA
2009	kyrg	p.troch	97345	f	0	NA	NA	NA
2009	kyrg	p.troch	97362	f	0	NA	NA	NA
2009	kyrg	p.troch	97367	f	0	NA	NA	NA
2009	kyrg	p.troch	5220	m	0	NA	NA	NA
2009	kyrg	p.troch	323	m	0	NA	NA	NA
2009	kyrg	p.troch	343	m	0	NA	NA	NA
2009	kyrg	p.troch	360	m	0	NA	NA	NA
2009	kyrg	p.troch	371	m	0	NA	NA	NA
2009	kyrg	p.troch	5044	m	0	NA	NA	NA
